3fiveone => 31  - 31
eightnineseventwo1seven => 87  - 118
9h1xcrcggtwo38 => 98  - 216
nine4pvtl => 94  - 310
seven7rsbqpgxtjzsgxssix => 76  - 386
twofivethreepqgsvrszczrthree7 => 27  - 413
44qcrkvr1two => 42  - 455
zstrmphtxdvdpsnhpnq4threenbjznsb => 43  - 498
bhgxhb41eight => 48  - 546
qhstsbxsspsrfourmtvtnfhxlj699one => 41  - 587
onekvhgkeighteight6two7ninelnfzbr => 19  - 606
xsixz5six3gfqrzmpnjgskd6 => 66  - 672
qfrpksmzzvfkddtfh6838 => 68  - 740
mztttgnxdqt4 => 44  - 784
8threesevenfourgbgteight5twonenjr => 81  - 865
bpzkn2rbbjtdtlznl => 22  - 887
glckqhjsbsznseight5dtnxnsix7 => 87  - 974
2shd3ksrtmbs62vvdvhd => 22  - 996
9ninemdkkqjzjfour9mzspzjgmlhfq => 99  - 1095
7twoqjbshcfxldnkc33one83 => 73  - 1168
zstxvfdthreeseven7mdfpgzgfourdfshplvqflfprt1 => 31  - 1199
9mndn31msfprm1kpk => 91  - 1290
tmczplnmrsevenhmhprtllcktpr8eight9 => 79  - 1369
49nine29917five => 45  - 1414
6qspssvm8 => 68  - 1482
7fourninefourcpfgpmxqjsjxmjfntwonine => 79  - 1561
3nxfjmzhseven22one => 31  - 1592
tzgnljxhs9nine1lvqgsix9four => 94  - 1686
eightthree9eightfourninexl6gsdhljppfb => 86  - 1772
9g => 99  - 1871
2xlcvqrxs2eightznzdghnlvcfour8xbzk => 28  - 1899
xgmfqvdbsn7sixnineseven5 => 75  - 1974
65zsghsnfbseven9 => 69  - 2043
7skmb5 => 75  - 2118
dbvjtf294threefournine => 29  - 2147
21hbtcfzbjhsbxlhd => 21  - 2168
27four => 24  - 2192
jlrthree9four8fourhqnsevenxqlmtsmzt => 37  - 2229
gjppzpvglfsvdmonercrsn4 => 14  - 2243
3zzxmhc => 33  - 2276
ldfgpzjmtcbj3jvsltltjv1eightzrdczhrzpcssrsrxbj => 38  - 2314
szblqqfgxhxkk3fourvqnpzf1onesixthree => 33  - 2347
vsb37three => 33  - 2380
8kxdcgmpb2sevenjdvc3eight7 => 87  - 2467
kgrsmfghvfivemhxnfiveqzzspmgmsvvghzd1fzcrkzdfsb => 51  - 2518
5mphlhx5dmcxxcpcxsrdzdninethree => 53  - 2571
hmqdkgvk4twoeight => 48  - 2619
2rjxxdcgtq5fivehzslfc => 25  - 2644
srqzfsvpfbnsvninetwothree6sixppsmfrtcrxxth => 96  - 2740
4fourtwocdxnzkbznnrf => 42  - 2782
4six419qpqfvfdpcrqvsjhgsfgrkpfmphseven => 47  - 2829
hxdcttl72seven => 77  - 2906
qkoneighttwoonesixeightfive2tzmrtpcthreefour => 14  - 2920
bnjqlftwobvsvjqptdp1two94twonej => 21  - 2941
eightninetwo278prrbvmcmf => 88  - 3029
seven79two => 72  - 3101
one9bx => 19  - 3120
cfpbdmjbcd27sixfour => 24  - 3144
16snbjgjzqxzplxkkclpxzdx => 16  - 3160
3scbbonenine5fivethreenine => 39  - 3199
21sixsix68oneninefour => 24  - 3223
6ninejmtrp4fivekxgdgj => 65  - 3288
6mhlddxbshqbseventhree3two6six => 66  - 3354
7four8smntchbmj71oneeight6 => 76  - 3430
six25four196one2 => 62  - 3492
2foursixftdbhbtd6 => 26  - 3518
fourfonekfsxdgvglvtrnrrjzmmkzxljm3 => 43  - 3561
3xckjzm => 33  - 3594
six9ssvkh1hdxcxmsptlxgdd8eight => 68  - 3662
2eightfourone2ninezslhqhdlcp2qxv => 22  - 3684
7oneclztx7xsxhrhhggfbhzdfgkdfvsqjskmdzj => 77  - 3761
fouronekkxqtrkptqz8 => 48  - 3809
klccbbvbjsix3fivenine => 69  - 3878
rjrxdxdz33nine => 39  - 3917
sevenninen5 => 75  - 3992
nineseveneightlcfrlftwoxlsmrjxnkk7zlzpbzm => 97  - 4089
rblvkfltqtbm18one7bvkzvvqrlbtf => 17  - 4106
gdcbszzf6sqldx => 66  - 4172
twoninethree23sixninebnzzjgqrlfktt => 29  - 4201
62ninetwo => 62  - 4263
fourfour44z8 => 48  - 4311
6qxdvmpkq => 66  - 4377
sixfivesixthree3x => 63  - 4440
pcqfxpvb1threefive77 => 17  - 4457
pncgzkppqqhmzmzjmzsevenxbsggc8 => 78  - 4535
fivexxdvpl32rdsix2seven => 57  - 4592
9blqpthpvfourfour69bprn => 99  - 4691
8vxsdfbdjmldkvtkbr4three => 83  - 4774
threefive8 => 38  - 4812
ck4p6 => 46  - 4858
two9bpeightldmrnzbt => 28  - 4886
4dpd => 44  - 4930
one7four6rcvtvfmzmnineq3 => 13  - 4943
4njtvkkstgmbjptcpdpzdfive => 45  - 4988
2tsl1sixgfbbpdhxgrfpt => 26  - 5014
947four5four3fivenine => 99  - 5113
fivelhtkgjhhzxfp3 => 53  - 5166
7one1three4sixmcrjlkzrj => 76  - 5242
9fourxtzqsjjmxfivehttj15 => 95  - 5337
2lqnfrgvdninedrdj => 29  - 5366
